engine,max_power,mileage,year,selling_price
2179,140.0,15.1,2014,1000000
1248,74.0,23.4,2014,445000
999,67.0,23.01,2017,265000
1969,190.0,18.0,2019,3800000
814,55.2,21.1,2014,250000
1498,98.96,23.0,2018,880000
1396,69.0,25.0,2014,160000
1248,75.0,17.8,2010,320000
1396,88.73,21.19,2017,715000
2179,120.0,15.4,2017,1050000
1497,108.5,21.5,2019,1140000
1498,99.0,25.83,2016,500000
1248,74.0,22.9,2012,416000
1248,92.3124958934112,19.3737698630137,2006,210000
1498,98.6,25.8,2013,445000
1582,126.32,22.32,2011,500000
796,47.3,24.7,2017,316000
1197,81.8,22.0,2018,600000
1248,88.5,23.65,2015,650000
998,67.05,21.79,2018,469000
1399,68.0,17.7,2009,150000
2523,63.0,13.6,2005,150000
1248,74.0,23.4,2013,375000
1364,67.04,23.59,2014,550000
998,66.1,19.0,2009,175000
1248,73.74,18.2,2016,500000
995,62.0,18.0,2010,140000
1969,400.0,42.0,2017,10000000
1198,86.7,17.8,2015,450000
1248,75.0,17.8,2010,340000
1495,93.7,16.36,2013,172000
1197,81.8,22.0,2019,650000
1591,121.3,14.8,2016,890000
1399,68.0,20.0,2011,225000
1248,88.5,24.52,2016,1000000
796,46.3,19.7,2010,132000
1086,68.05,19.81,2010,210000
1591,121.3,17.01,2015,795000
2523,62.1,15.96,2013,500000
1248,88.5,24.3,2016,791000
1197,83.1,21.4,2017,515000
1248,88.8,21.12,2010,150000
2393,147.8,13.68,2018,2064000
1197,78.9,20.36,2012,270000
1799,130.0,13.5,2006,150000
1248,88.5,26.21,2015,535000
2523,62.1,15.96,2016,720000
796,37.0,16.1,2012,100000
998,67.05,21.79,2013,225000
1498,98.59,22.77,2014,500000
1498,98.96,21.7,2014,550000
936,57.6,25.44,2011,221000
2393,147.8,13.68,2018,1650000
1248,88.5,25.1,2019,930000
998,66.1,19.0,2010,130000
1368,90.0,15.0,2011,225000
1248,88.8,20.77,2013,680000
1248,88.5,28.09,2016,650000
796,46.3,19.7,2006,94500
998,67.1,18.9,2012,220000
1497,118.0,17.0,2009,345000
1197,81.8,20.4,2015,440000
998,67.05,23.95,2015,300000
1396,88.73,21.19,2018,720000
998,67.04,23.1,2016,434999
1197,85.8,21.1,2010,320000
1493,110.0,16.8,2007,185000
998,67.04,20.51,2016,325000
1248,88.5,24.3,2017,775000
1248,88.5,24.52,2018,955000
1591,121.3,17.01,2015,795000
1199,88.7,18.2,2017,725000
1199,88.7,18.7,2015,480000
1197,81.8,20.4,2016,470000
1196,70.0,15.6,2012,290000
2523,62.1,15.96,2013,400000
1373,93.7,16.02,2014,599000
1341,83.0,15.3,2006,81000
1498,98.6,26.0,2015,615000
998,68.05,20.3,2016,280000
1248,74.0,23.4,2012,415000
1598,103.2,15.41,2016,395000
1597,118.0,26.8,2020,2125000
3604,280.0,9.5,2017,4100000
1364,67.04,23.59,2012,411000
1461,83.8,20.45,2015,800000
1493,110.0,16.8,2008,120000
1995,190.0,16.78,2019,5500000
1197,82.85,18.5,2013,320000
1248,88.5,26.21,2015,600000
1405,70.0,19.1,2014,400000
1997,120.0,15.4,2015,825000
2494,102.0,12.8,2010,525000
1196,73.0,15.37,2016,270000
1498,98.96,23.0,2014,484999
1197,85.8,19.1,2014,475000
1248,74.0,23.4,2014,580000
1248,74.02,28.4,2019,754000
